"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"SYF","Synchrony Financial","reports","Financials","Consumer Finance","Stamford","Connecticut",1
"SYK","Stryker Corp.","reports","Health Care","Health Care Equipment","Kalamazoo","Michigan",1
"SYMC","Symantec Corp.","reports","Information Technology","Application Software","Mountain View","California",1
"SYY","Sysco Corp.","reports","Consumer Staples","Food Distributors","Houston","Texas",1
"T","AT&T Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Dallas","Texas",1
"TAP","Molson Coors Brewing Company","reports","Consumer Staples","Brewers","Denver","Colorado",1
"TDC","Teradata Corp.","reports","Information Technology","Application Software","Miamisburg","Ohio",1
"TDG","TransDigm Group","reports","Industrials","Aerospace & Defense","Cleveland","Ohio",1
"TEL","TE Connectivity Ltd.","reports","Information Technology","Electronic Manufacturing Services","Schaffhausen","Switzerland",0
"TGNA","Tegna, Inc.","reports","Consumer Discretionary","Publishing","McLean","Virginia",1
"TGT","Target Corp.","reports","Consumer Discretionary","General Merchandise Stores","Minneapolis","Minnesota",1
"TIF","Tiffany & Co.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York",1
"TJX","TJX Companies Inc.","reports","Consumer Discretionary","Apparel Retail","Framingham","Massachusetts",1
"TMK","Torchmark Corp.","reports","Financials","Life & Health Insurance","McKinney","Texas",1
"TMO","Thermo Fisher Scientific","reports","Health Care","Health Care Equipment","Waltham","Massachusetts",1
"TRIP","TripAdvisor","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Newton","Massachusetts",1
"TROW","T. Rowe Price Group","reports","Financials","Diversified Financial Services","Baltimore","Maryland",1
"TRV","The Travelers Companies Inc.","reports","Financials","Property & Casualty Insurance","New York","New York",1
"TSCO","Tractor Supply Company","reports","Consumer Discretionary","Specialty Retail","Brentwood","Tennessee",1
"TSN","Tyson Foods","reports","Consumer Staples","Packaged Foods & Meats","Springdale","Arkansas",1
"TSO","Tesoro Petroleum Co.","reports","Energy","Oil & Gas Refining & Marketing & Transportation","San Antonio","Texas",1
"TSS","Total System Services","reports","Information Technology","Internet Software & Services","Columbus","Georgia",1
"TWX","Time Warner Inc.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York","New York",1
"TXN","Texas Instruments","reports","Information Technology","Semiconductors","Dallas","Texas",1
"TXT","Textron Inc.","reports","Industrials","Industrial Conglomerates","Providence","Rhode Island",1
"UAA","Under Armour","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore","Maryland",1
"UAL","United Continental Holdings","reports","Industrials","Airlines","Chicago","Illinois",1
"UDR","UDR Inc","reports","Real Estate","Residential REITs","Highlands Ranch","Colorado",1
"UHS","Universal Health Services, Inc.","reports","Health Care","Health Care Facilities","King of Prussia","Pennsylvania",1
"ULTA","Ulta Salon Cosmetics & Fragrance Inc","reports","Consumer Discretionary","Specialty Stores","Bolingbrook","Illinois",1
"UNH","United Health Group Inc.","reports","Health Care","Managed Health Care","Minnetonka","Minnesota",1
"UNM","Unum Group","reports","Financials","Diversified Financial Services","Chattanooga","Tennessee",1
"UNP","Union Pacific","reports","Industrials","Railroads","Omaha","Nebraska",1
"UPS","United Parcel Service","reports","Industrials","Air Freight & Logistics","Atlanta","Georgia",1
"URBN","Urban Outfitters","reports","Consumer Discretionary","Apparel Retail","Philadelphia","Pennsylvania",1
"URI","United Rentals, Inc.","reports","Industrials","Trading Companies & Distributors","Stamford","Connecticut",1
"USB","U.S. Bancorp","reports","Financials","Banks","Minneapolis","Minnesota",1
"UTX","United Technologies","reports","Industrials","Industrial Conglomerates","Hartford","Connecticut",1
"V","Visa Inc.","reports","Information Technology","Internet Software & Services","San Francisco","California",1
"VAR","Varian Medical Systems","reports","Health Care","Health Care Equipment","Palo Alto","California",1
"VFC","V.F. Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Greensboro","North Carolina",1
"VIAB","Viacom Inc.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York","New York",1
"VLO","Valero Energy","reports","Energy","Oil & Gas Refining & Marketing & Transportation","San Antonio","Texas",1
