"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"EA","Electronic Arts","reports","Information Technology","Home Entertainment Software","Redwood City","California",1
"EBAY","eBay Inc.","reports","Information Technology","Internet Software & Services","San Jose","California",1
"ECL","Ecolab Inc.","reports","Materials","Specialty Chemicals","St. Paul","Minnesota",1
"ED","Consolidated Edison","reports","Utilities","Electric Utilities","New York","New York",1
"EFX","Equifax Inc.","reports","Industrials","Research & Consulting Services","Atlanta","Georgia",1
"EIX","Edison Int'l","reports","Utilities","Electric Utilities","Rosemead","California",1
"EL","Estee Lauder Cos.","reports","Consumer Staples","Personal Products","New York","New York",1
"EMN","Eastman Chemical","reports","Materials","Diversified Chemicals","Kingsport","Tennessee",1
"EMR","Emerson Electric Company","reports","Industrials","Industrial Conglomerates","Ferguson","Missouri",1
"ENDP","Endo International","reports","Health Care","Pharmaceuticals","Dublin","Ireland",0
"EOG","EOG Resources","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"EQIX","Equinix","reports","Real Estate","REITs","Redwood City","California",1
"EQR","Equity Residential","reports","Real Estate","REITs","Chicago","Illinois",1
"EQT","EQT Corporation","reports","Energy","Oil & Gas Exploration & Production","Pittsburgh","Pennsylvania",1
"ES","Eversource Energy","reports","Utilities","MultiUtilities","Springfield","Massachusetts",1
"ESRX","Express Scripts","reports","Health Care","Health Care Distributors","Cool Valley","Missouri",1
"ESS","Essex Property Trust, Inc.","reports","Real Estate","Residential REITs","Palo Alto","California",1
"ETFC","E*Trade","reports","Financials","Investment Banking & Brokerage","New York","New York",1
"ETN","Eaton Corporation","reports","Industrials","Industrial Conglomerates","Dublin","Ireland",0
"ETR","Entergy Corp.","reports","Utilities","Electric Utilities","New Orleans","Louisiana",1
"EVHC","Envision Healthcare Corp","reports","Health Care","Health Care Services","Nashville","Tennessee",1
"EW","Edwards Lifesciences","reports","Health Care","Health Care Equipment","Irvine","California",1
"EXC","Exelon Corp.","reports","Utilities","MultiUtilities","Chicago","Illinois",1
"EXPD","Expeditors Int'l","reports","Industrials","Air Freight & Logistics","Seattle","Washington",1
"EXPE","Expedia Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue","Washington",1
"EXR","Extra Space Storage","reports","Real Estate","Specialized REITs","Salt Lake City","UT",0
"F","Ford Motor","reports","Consumer Discretionary","Automobile Manufacturers","Dearborn","Michigan",1
"FAST","Fastenal Co","reports","Industrials","Building Products","Winona","Minnesota",1
"FB","Facebook","reports","Information Technology","Internet Software & Services","Menlo Park","California",1
"FBHS","Fortune Brands Home & Security","reports","Industrials","Building Products","Deerfield","Illinois",1
"FCX","Freeport-McMoran Cp & Gld","reports","Materials","Copper","Phoenix","Arizona",1
"FDX","FedEx Corporation","reports","Industrials","Air Freight & Logistics","Memphis","Tennessee",1
"FE","FirstEnergy Corp","reports","Utilities","Electric Utilities","Akron","Ohio",1
"FFIV","F5 Networks","reports","Information Technology","Networking Equipment","Seattle","Washington",1
"FIS","Fidelity National Information Services","reports","Information Technology","Internet Software & Services","Jacksonville","Florida",1
"FISV","Fiserv Inc","reports","Information Technology","Internet Software & Services","Brookfield","Wisconsin",1
"FITB","Fifth Third Bancorp","reports","Financials","Banks","Cincinnati","Ohio",1
"FL","Foot Locker Inc","reports","Consumer Discretionary","Apparel Retail","New York","New York",1
"FLIR","FLIR Systems","reports","Information Technology","Electronic Equipment & Instruments","Wilsonville","Oregon",1
"FLR","Fluor Corp.","reports","Industrials","Diversified Commercial Services","Irving","Texas",1
"FLS","Flowserve Corporation","reports","Industrials","Industrial Machinery","Irving","Texas",1
"FMC","FMC Corporation","reports","Materials","Diversified Chemicals","Philadelphia","Pennsylvania",1
"FOX","Twenty-First Century Fox Class B","reports","Consumer Discretionary","Publishing","New York","New York",1
"FOXA","Twenty-First Century Fox Class A","reports","Consumer Discretionary","Publishing","New York","New York",1
"FRT","Federal Realty Investment Trust","reports","Real Estate","Retail REITs","Rockville","Maryland",1
"FSLR","First Solar Inc","reports","Information Technology","Semiconductors","Tempe","Arizona",1
"FTI","FMC Technologies Inc.","reports","Energy","Oil & Gas Equipment & Services","Houston","Texas",1
"FTR","Frontier Communications","reports","Telecommunications Services","Integrated Telecommunications Services","Stamford","Connecticut",1
"FTV","Fortive Corp","reports","Industrials","Industrial Machinery","Everett","Washington",1
"GD","General Dynamics","reports","Industrials","Aerospace & Defense","Falls Church","Virginia",1
"GE","General Electric","reports","Industrials","Industrial Conglomerates","Fairfield","Connecticut",1
"GGP","General Growth Properties Inc.","reports","Real Estate","Retail REITs","Chicago","Illinois",1
"GILD","Gilead Sciences","reports","Health Care","Biotechnology","Foster City","California",1
"GIS","General Mills","reports","Consumer Staples","Packaged Foods & Meats","Golden Valley","Minnesota",1
"GLW","Corning Inc.","reports","Information Technology","Electronic Components","Corning","New York",1
"GM","General Motors","reports","Consumer Discretionary","Automobile Manufacturers","Detroit","Michigan",1
"GOOG","Alphabet Inc Class C","reports","Information Technology","Internet Software & Services","Mountain View","California",1
"GOOGL","Alphabet Inc Class A","reports","Information Technology","Internet Software & Services","Mountain View","California",1
"GPC","Genuine Parts","reports","Consumer Discretionary","Specialty Stores","Atlanta","Georgia",1
"GPN","Global Payments Inc","reports","Information Technology","Data Processing & Outsourced Services","Atlanta","Georgia",1
"GPS","Gap (The)","reports","Consumer Discretionary","Apparel Retail","San Francisco","California",1
"GRMN","Garmin Ltd.","reports","Consumer Discretionary","Consumer Electronics","Schaffhausen","Switzerland",0
"GS","Goldman Sachs Group","reports","Financials","Investment Banking & Brokerage","New York","New York",1
"GT","Goodyear Tire & Rubber","reports","Consumer Discretionary","Tires & Rubber","Akron","Ohio",1
"GWW","Grainger (W.W.) Inc.","reports","Industrials","Industrial Materials","Lake Forest","Illinois",1
"HAL","Halliburton Co.","reports","Energy","Oil & Gas Equipment & Services","Houston","Texas",1
"HAR","Harman Int'l Industries","reports","Consumer Discretionary","Consumer Electronics","Stamford","Connecticut",1
"HAS","Hasbro Inc.","reports","Consumer Discretionary","Leisure Products","Pawtucket","Rhode Island",1
"HBAN","Huntington Bancshares","reports","Financials","Banks","Columbus","Ohio",1
"HBI","Hanesbrands Inc","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem","North Carolina",1
"HCA","HCA Holdings","reports","Health Care","Health Care Facilities","Nashville","Tennessee",1
"HCN","Welltower Inc.","reports","Real Estate","REITs","Toledo","Ohio",1
"HCP","HCP Inc.","reports","Real Estate","REITs","Long Beach","California",1
"HD","Home Depot","reports","Consumer Discretionary","Home Improvement Retail","Atlanta","Georgia",1
"HES","Hess Corporation","reports","Energy","Integrated Oil & Gas","New York","New York",1
"HIG","Hartford Financial Svc.Gp.","reports","Financials","Property & Casualty Insurance","Hartford","Connecticut",1
"HOG","Harley-Davidson","reports","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee","Wisconsin",1
"HOLX","Hologic","reports","Health Care","Health Care Equipment","Marlborough","Massachusetts",1
"HON","Honeywell Int'l Inc.","reports","Industrials","Industrial Conglomerates","Morristown","New Jersey",1
"HP","Helmerich & Payne","reports","Energy","Oil & Gas Drilling","Tulsa","Oklahoma",1
"HPE","Hewlett Packard Enterprise","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto","California",1
"HPQ","HP Inc.","reports","Information Technology","Computer Hardware","Palo Alto","California",1
"HRB","Block H&R","reports","Financials","Consumer Finance","Kansas City","Missouri",1
"HRL","Hormel Foods Corp.","reports","Consumer Staples","Packaged Foods & Meats","Austin","Minnesota",1
"HRS","Harris Corporation","reports","Information Technology","Telecommunications Equipment","Melbourne","Florida",1
"HSIC","Henry Schein","reports","Health Care","Health Care Distributors","Melville","New York",1
"HST","Host Hotels & Resorts","reports","Real Estate","REITs","Bethesda","Maryland",1
"HSY","The Hershey Company","reports","Consumer Staples","Packaged Foods & Meats","Hershey","Pennsylvania",1
"HUM","Humana Inc.","reports","Health Care","Managed Health Care","Louisville","Kentucky",1
"IBM","International Business Machines","reports","Information Technology","IT Consulting & Other Services","Armonk","New York",1
"ICE","Intercontinental Exchange","reports","Financials","Diversified Financial Services","Atlanta","Georgia",1
"IDXX","IDEXX Laboratories","reports","Health Care","Health Care Equipment","Westbrook","Maine",1
"IFF","Intl Flavors & Fragrances","reports","Materials","Specialty Chemicals","New York","New York",1
"ILMN","Illumina Inc","reports","Health Care","Life Sciences Tools & Services","San Diego","California",1
"INTC","Intel Corp.","reports","Information Technology","Semiconductors","Santa Clara","California",1
"INTU","Intuit Inc.","reports","Information Technology","Internet Software & Services","Mountain View","California",1
"IP","International Paper","reports","Materials","Paper Packaging","Memphis","Tennessee",1
"IPG","Interpublic Group","reports","Consumer Discretionary","Advertising","New York","New York",1
"IR","Ingersoll-Rand PLC","reports","Industrials","Industrial Conglomerates","Dublin","Ireland",0
"IRM","Iron Mountain Incorporated","reports","Real Estate","REITs","Boston","Massachusetts",1
"ISRG","Intuitive Surgical Inc.","reports","Health Care","Health Care Equipment","Sunnyvale","California",1
"ITW","Illinois Tool Works","reports","Industrials","Industrial Machinery","Glenview","Illinois",1
"IVZ","Invesco Ltd.","reports","Financials","Asset Management & Custody Banks","Atlanta","Georgia",1
"JBHT","J. B. Hunt Transport Services","reports","Industrials","Trucking","Lowell","Arkansas",1
"JCI","Johnson Controls International","reports","Industrials","Building Products","Cork","Ireland",0
"JEC","Jacobs Engineering Group","reports","Industrials","Industrial Conglomerates","Pasadena","California",1
"JNJ","Johnson & Johnson","reports","Health Care","Health Care Equipment","New Brunswick","New Jersey",1
"JNPR","Juniper Networks","reports","Information Technology","Networking Equipment","Sunnyvale","California",1
"JPM","JPMorgan Chase & Co.","reports","Financials","Banks","New York","New York",1
"JWN","Nordstrom","reports","Consumer Discretionary","Department Stores","Seattle","Washington",1
"K","Kellogg Co.","reports","Consumer Staples","Packaged Foods & Meats","Battle Creek","Michigan",1
"KEY","KeyCorp","reports","Financials","Banks","Cleveland","Ohio",1
"KHC","Kraft Heinz Co","reports","Consumer Staples","Packaged Foods & Meats","Pittsburgh","Pennsylvania",1
"KIM","Kimco Realty","reports","Real Estate","REITs","New Hyde Park","New York",1
"KLAC","KLA-Tencor Corp.","reports","Information Technology","Semiconductor Equipment","Milpitas","California",1
"KMB","Kimberly-Clark","reports","Consumer Staples","Household Products","Irving","Texas",1
"KMI","Kinder Morgan","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Houston","Texas",1
"KMX","Carmax Inc","reports","Consumer Discretionary","Specialty Stores","Richmond","Virginia",1
"KO","Coca Cola Company","reports","Consumer Staples","Soft Drinks","Atlanta","Georgia",1
"KORS","Michael Kors Holdings","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York",1
"KR","Kroger Co.","reports","Consumer Staples","Food Retail","Cincinnati","Ohio",1
"KSS","Kohl's Corp.","reports","Consumer Discretionary","General Merchandise Stores","Menomonee Falls","Wisconsin",1
"KSU","Kansas City Southern","reports","Industrials","Railroads","Kansas City","Missouri",1
"L","Loews Corp.","reports","Financials","Multi-Sector Holdings","New York","New York",1
"LB","L Brands Inc.","reports","Consumer Discretionary","Apparel Retail","Columbus","Ohio",1
"LEG","Leggett & Platt","reports","Industrials","Industrial Conglomerates","Carthage","Missouri",1
"LEN","Lennar Corp.","reports","Consumer Discretionary","Homebuilding","Miami","Florida",1
"LH","Laboratory Corp. of America Holding","reports","Health Care","Health Care Facilities","Burlington","North Carolina",1
"LKQ","LKQ Corporation","reports","Consumer Discretionary","Distributors","Chicago","Illinois",1
"LLL","L-3 Communications Holdings","reports","Industrials","Industrial Conglomerates","New York","New York",1
"LLTC","Linear Technology Corp.","reports","Information Technology","Semiconductors","Milpitas","California",1
"LLY","Lilly (Eli) & Co.","reports","Health Care","Pharmaceuticals","Indianapolis","Indiana",1
"LMT","Lockheed Martin Corp.","reports","Industrials","Aerospace & Defense","Bethesda","Maryland",1
"LNC","Lincoln National","reports","Financials","Multi-line Insurance","Radnor","Pennsylvania",1
"LNT","Alliant Energy Corp","reports","Utilities","Electric Utilities","Madison","Wisconsin",1
"LOW","Lowe's Cos.","reports","Consumer Discretionary","Home Improvement Retail","Mooresville","North Carolina",1
"LRCX","Lam Research","reports","Information Technology","Semiconductor Equipment","Fremont","California",1
"LUK","Leucadia National Corp.","reports","Financials","Multi-Sector Holdings","New York","New York",1
"LUV","Southwest Airlines","reports","Industrials","Airlines","Dallas","Texas",1
"LVLT","Level 3 Communications","reports","Telecommunications Services","Alternative Carriers","Broomfield","Colorado",1
"LYB","LyondellBasell","reports","Materials","Diversified Chemicals","Rotterdam","Netherlands",0
"M","Macy's Inc.","reports","Consumer Discretionary","Department Stores","Cincinnati","Ohio",1
"MA","Mastercard Inc.","reports","Information Technology","Internet Software & Services","Harrison","New York",1
"MAA","Mid-America Apartments","reports","Real Estate","Residential REITs","Memphis","Tennessee",1
"MAC","Macerich","reports","Real Estate","Retail REITs","Santa Monica","California",1
"MAR","Marriott Int'l.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda","Maryland",1
"MAS","Masco Corp.","reports","Industrials","Building Products","Taylor","Michigan",1
"MAT","Mattel Inc.","reports","Consumer Discretionary","Leisure Products","El Segundo","California",1
"MCD","McDonald's Corp.","reports","Consumer Discretionary","Restaurants","Oak Brook","Illinois",1
"MCHP","Microchip Technology","reports","Information Technology","Semiconductors","Chandler","Arizona",1
"MCK","McKesson Corp.","reports","Health Care","Health Care Distributors","San Francisco","California",1
"MCO","Moody's Corp","reports","Financials","Diversified Financial Services","New York","New York",1
"MDLZ","Mondelez International","reports","Consumer Staples","Packaged Foods & Meats","Northfield","Illinois",1
"MDT","Medtronic plc","reports","Health Care","Health Care Equipment","Dublin","Ireland",0
"MET","MetLife Inc.","reports","Financials","Life & Health Insurance","New York","New York",1
"MHK","Mohawk Industries","reports","Consumer Discretionary","Home Furnishings","Amsterdam","New York",1
"MJN","Mead Johnson","reports","Consumer Staples","Packaged Foods & Meats","Glenview","Illinois",1
"MKC","McCormick & Co.","reports","Consumer Staples","Packaged Foods & Meats","Sparks","Maryland",1
"MLM","Martin Marietta Materials","reports","Materials","Construction Materials","Raleigh","North Carolina",1
"MMC","Marsh & McLennan","reports","Financials","Insurance Brokers","New York","New York",1
"MMM","3M Company","reports","Industrials","Industrial Conglomerates","St. Paul","Minnesota",1
"MNK","Mallinckrodt Plc","reports","Health Care","Pharmaceuticals","Dublin","Ireland",0
"MNST","Monster Beverage","reports","Consumer Staples","Soft Drinks","Corona","California",1
"MO","Altria Group Inc","reports","Consumer Staples","Tobacco","Richmond","Virginia",1
"MON","Monsanto Co.","reports","Materials","Fertilizers & Agricultural Chemicals","Creve Coeur","Missouri",1
"MOS","The Mosaic Company","reports","Materials","Fertilizers & Agricultural Chemicals","Plymouth","Minnesota",1
"MPC","Marathon Petroleum","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Findlay","Ohio",1
"MRK","Merck & Co.","reports","Health Care","Pharmaceuticals","Whitehouse Station","New Jersey",1
"MRO","Marathon Oil Corp.","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"MSFT","Microsoft Corp.","reports","Information Technology","Systems Software","Redmond","Washington",1
"MSI","Motorola Solutions Inc.","reports","Information Technology","Telecommunications Equipment","Schaumburg","Illinois",1
"MTB","M&T Bank Corp.","reports","Financials","Banks","Buffalo","New York",1
"MTD","Mettler Toledo","reports","Health Care","Life Sciences Tools & Services","Columbus","Ohio",1
"MU","Micron Technology","reports","Information Technology","Semiconductors","Boise","Idaho",1
"MUR","Murphy Oil","reports","Energy","Integrated Oil & Gas","El Dorado","Arkansas",1
"MYL","Mylan N.V.","reports","Health Care","Pharmaceuticals","Amsterdam","Netherlands",0
"NAVI","Navient","reports","Financials","Consumer Finance","Newark","Delaware",1
"NBL","Noble Energy Inc","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"NDAQ","NASDAQ OMX Group","reports","Financials","Diversified Financial Services","New York","New York",1
"NEE","NextEra Energy","reports","Utilities","MultiUtilities","Juno Beach","Florida",1
"NEM","Newmont Mining Corp. (Hldg. Co.)","reports","Materials","Gold","Denver","Colorado",1
"NFLX","Netflix Inc.","reports","Information Technology","Internet Software & Services","Los Gatos","California",1
"NFX","Newfield Exploration Co","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"NI","NiSource Inc.","reports","Utilities","MultiUtilities","Merrillville","Indiana",1
"NKE","Nike","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County","Oregon",1
"NLSN","Nielsen Holdings","reports","Industrials","Research & Consulting Services","New York","New York",1
"NOC","Northrop Grumman Corp.","reports","Industrials","Aerospace & Defense","West Falls Church","Virginia",1
"NOV","National Oilwell Varco Inc.","reports","Energy","Oil & Gas Equipment & Services","Houston","Texas",1
"NRG","NRG Energy","reports","Utilities","Independent Power Producers & Energy Traders","Princeton","New Jersey",1
"NSC","Norfolk Southern Corp.","reports","Industrials","Railroads","Norfolk","Virginia",1
"NTAP","NetApp","reports","Information Technology","Internet Software & Services","Sunnyvale","California",1
"NTRS","Northern Trust Corp.","reports","Financials","Asset Management & Custody Banks","Chicago","Illinois",1
"NUE","Nucor Corp.","reports","Materials","Steel","Charlotte","North Carolina",1
"NVDA","Nvidia Corporation","reports","Information Technology","Semiconductors","Santa Clara","California",1
"NWL","Newell Brands","reports","Consumer Discretionary","Housewares & Specialties","Sandy Springs","Georgia",1
"NWS","News Corp. Class B","reports","Consumer Discretionary","Publishing","New York","New York",1
"NWSA","News Corp. Class A","reports","Consumer Discretionary","Publishing","New York","New York",1
"O","Realty Income Corporation","reports","Real Estate","Retail REITs","San Diego","California",1
"OKE","ONEOK","reports","Energy","Oil & Gas Exploration & Production","Tulsa","Oklahoma",1
"OMC","Omnicom Group","reports","Consumer Discretionary","Advertising","New York","New York",1
"ORCL","Oracle Corp.","reports","Information Technology","Application Software","Redwood Shores","California",1
"ORLY","O'Reilly Automotive","reports","Consumer Discretionary","Specialty Stores","Springfield","Missouri",1
"OXY","Occidental Petroleum","reports","Energy","Oil & Gas Exploration & Production","Los Angeles","California",1
"PAYX","Paychex Inc.","reports","Information Technology","Internet Software & Services","Penfield","New York",1
"PBCT","People's United Financial","reports","Financials","Thrifts & Mortgage Finance","Bridgeport","Connecticut",1
"PBI","Pitney-Bowes","reports","Industrials","Technology, Hardware, Software and Supplies","Stamford","Connecticut",1
"PCAR","PACCAR Inc.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Bellevue","Washington",1
"PCG","PG&E Corp.","reports","Utilities","MultiUtilities","San Francisco","California",1
